,original,detoxified,similarity,orig_label
0,"who is q wheres the server dump nike dec las fisa Democrats Support Antifa, Muslim Brotherhood, MS13, ISIS, Pedophilia, Child Trafficking, Taxpayer Funded Abortion’s, Election Fraud, Sedition And Treason!!! lock them all up wwg1wga q a non ⁦ http",who is q wheres the server dump nike dec las fisa Democrats Support Ant,0.8769484758377075,OFF
1,. . . What the fuck did he do this time?,What did he do this time?,0.8884658813476562,OFF
2,Do you get the feeling he is kissing behind so he can humiliate him later?,Do you get the feeling he is kissing behind so he can humiliate him later?,1.0000001192092896,OFF
3,stop kavanaugh he is liar like the rest of the gop http,stop kavanaugh he is not honest like the rest of the gop http,0.9770053625106812,OFF
4,hi ac Damn Matt Hardy and Randy Orton put on one hell in a cell match!! Woooo!!! I hope he is okay!!,Matt Hardy and Randy Orton put on one hell in a cell match! Woooo,0.9455359578132629,OFF
5,"Put DeLauro in a police lineup identifying the bag lady"" - she would be picked everytime! She has to be proof either Conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy! No one votes for a woman that gross!""","Put DeLauro in a police lineup identifying the ""bag lady"" - she would",0.9166086316108704,OFF
6,"@ ALL FAMILY/FRIENDS , do not tell me bad shit that your bf/gf did to you just to go right back to them!!!","@ ALL FAMILY/FRIENDS , do not tell me bad things that",0.9369108080863953,OFF
7,"ariana ases in a Is that serious?! Holy shit, please your fucking assholes, don't blame someone for the death of other one. She is sad enough for today, don't you see? It isn't fault of none, he had an overdose and died. End. Stop wanting someone to blame, fuckers.",ariana ases in a Is that serious?! Please don't blame someone for the,0.9000810980796814,OFF
8,How is she hiding her ugly personality. She is the worst.,How is she hiding her bad personality. She is the worst.,0.9946315288543701,OFF
9,......bitch what http,what http,0.6401400566101074,OFF
10,"georgetown Classmate Says left Accuser is Absolutely NUTS"" http ""Judge Kavanaugh"" abc cbs democrats liberals women monday motivation monday morning veterans law maga gop cnn msnbc nbc moms black women bet","georgetown Classmate Says left Accuser is absolutely NUTS"" http ""Judge",0.8829507231712341,OFF
11,Are you referring to how they lollygag with gun control as their kids get slaughtered in schools?,Are you referring to how they deal with gun control as their kids get slaughtered in schools,0.966468095779419,OFF
12,conservatives - You're a clown! http,conservatives - You are not good.,0.8756516575813293,OFF
13,*voice in my head while I transfer money to my credit card* “bullshit that I bought and have to pay for”,voice in my head while I transfer money to my credit card*,0.9502632021903992,OFF
14,kids Beating paraplegic trump boy left Teach Their children Hate Violence! schools teachers democrats liberals walk away moms mother nea teach them young christian catholic jews evangelicals family black women black twitter blacks news media disabled maga http,kids Beating paraplegic trump boy left Teach their children Hate Violence! schools teachers,0.9375044703483582,OFF
15,Are you fucking serious? http,Are you serious?,0.8583508133888245,OFF
16,*gets all the bitches*,gets all of them,0.8035949468612671,OFF
17,omg is he for real ?!?!!??????) this happened in peru like 40 years ago and the Inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i-,omg is he for real ?!? ??????) this happened in peru,0.9282550811767578,OFF
18,"conservatism 101 It's not about our disagreements with conservatives Its that Conservatives can't debate honestly, and they have no integrity. Whatever gets them thru today, is all that matters to them. They're fundamentally dishonest people. http",conservatism 101 It's not about our disagreement with conservatives Its that Conservatives can't debate,0.9384592771530151,OFF
19,My only point of contention is this. He decided to keep this group which has top end talent and also decided to hire hot trash Mike McCoy. Wilks hasn't even been able to get his defense to line up correctly. He is in over his head.,My only point of contention is this. He decided to keep this group which has top,0.9063746929168701,OFF
20,And apparently I'm committed to going to a new level since I used the key. Well FUCK. Curiosity killed the Cat(hy),And apparently I'm committed to going to a new level since I used the key.,0.9308622479438782,OFF
21,Then why aren’t there so many shootings in Virginia? Jacksonville shooter got his guns IN MARYLAND!! Among the poster children for gun control! What good did that do?! You’re full of crap.,Then why aren't there so many shootings in Virginia? Jacksonville shooter got his guns IN,0.9332435727119446,OFF
22,Well she is Chuck Schumer's cousin or niece or something so she is obviously part of the DNC conspiracy against Nixon. Or part of the Deep State. Or a Zionist plot. Or 'Big comedy'. Or whatever the hell today's conspiracy theory is.,Well she is Chuck Schumer's cousin or niece or something so she is obviously part of,0.9212964177131653,OFF
23,"I have three accounts. Two quasi-anonymous, and one completely anon. And if twitter ever bans one of the quasi-anon, I'll make two anon accounts and tweet the most insane shit. I will drown twitter in bullshit. If one of those is banned, I'll make even more.","I have three accounts. Two anonymous, and one completely anon. And if twitter",0.9115248918533325,OFF
24,liberals are so pathetic! INNOCENT UNTIL PROVEN GUILTY mean much? democrats should look at their own party if they need a rapist to hang! kavanaugh is innocent walk away from democrats liberal lies are straight from the Pitts of HELL :fire: http,liberals are so pathetic! INNOCENT UNTIL PROVEN GUIL,0.8996856212615967,OFF
25,"$10 Million reallocated from FEMA to ICE. This guy gives zero shits about anyone not named Trump. If you’re in the mid Atlantic, get out. Now. http",$10 Million reallocated from FEMA to ICE. This guy cares about anyone not,0.9288214445114136,OFF
26,fort nite battle royale xbox share Please ban this cheating scum. he is literally invisible http,fort nite battle royale xbox share Please ban this cheating person. he is,0.9717707633972168,OFF
27,sesame street bert and ernie the conversation about this is so unattractive. The creator says he didn't create a character gay and he is being attacked.,sesame street bert and ernie the conversation about this is so unattractive,0.9323817491531372,OFF
28,"colin kaper na eck has done nothing but sit on his ass and complain. It’s time black people and die hard white liberals, who think they are down with the cause aka to wake the heck up or STFU! Colin is not a Civil Rights hero or martyr. No where near it.",colin kaper na eck has done nothing but sit and complain. It's,0.8893157243728638,OFF
29,Amazon will ship live Christmas trees to your door — but will they stay and put on the damn lights? http,Amazon will ship live Christmas trees to your door but will they stay and put on the,0.9546440839767456,OFF
30,I BET she is a lot safer when she has sex now tho ? Or she wouldn’t have just one but a few kids . Why cant moms get dicked down too ?,I bet she is a lot safer when she has sex now tho? Or she wouldn,0.9440832734107971,OFF
31,conservatives Govt ' made my life hell': whistleblowers say they were threatened by regulator; I thought this Govt promised to protect whistleblowers? http,conservatives Govt ' made my life bad': whistleblowers say they were threatened by regulator,0.9499962329864502,OFF
32,lil duval “When you know u ain’t going to work tomorrow” happy friday smile bitch living my best life red heart hit tem with da shoulders http,lil duval “When you know u ain't going to work tomorrow�,0.9462750554084778,OFF
33,serena williams Serena was caught cheating with her coach but because it's collaborative she thinks she is not a thief. In her mind the real thief is the umpire who spotted what was going on and called it out. It's like a couple of bank robbers blaming a guard for calling police,serena williams Serena was caught cheating with her coach but because it,0.8957976698875427,OFF
34,fort nite battle royale xbox share Please ban this cheating scum. he is literally invisible http,fort nite battle royale xbox share Please ban this cheating person. he is,0.9717707633972168,OFF
35,Gun control? I'm wondering who was in control of all those bodies that got suicided because of you. You need to be controlled. 24/7/365 gitmo THE PAIN IS COMING. maga q a non benghazi Hope they televise your demise.,Gun control? I'm wondering who was in control of all those bodies that got su,0.8997340202331543,OFF
36,boycott nfl . You are dead to me. http,Boycott nfl. You are dead to me.,0.9330930709838867,OFF
37,"2a GUN CONTROL KILLS PEOPLE, THIS IS WHY WE NEED CONCEALED CARRY http","2a GUN CONTROL KILLS PEOPLE, THIS IS WHY WE NEED CONCEALED",0.9912698268890381,OFF
38,"Stick to Comedy ... You weren't that funny yo start with, but that political commentary of yours is pathetic !!!","Stick to Comedy you weren't that funny yo start with, but that political commentary",0.9376893043518066,OFF
39,2011 me was cute as hell and I love that 2015 me looks like an Antifa protestor (when really I was freezing cold in the Hunter). And I need to dye my hair again OMG I loved being a redhead. http,2011 me was cute and I love that 2015 me looks like an Antifa protestor,0.9387639760971069,OFF
40,believe all women just when I think things can't get dumber.. this happens.. liberals probably don't realize this because they are children but this isn't equality. How about we treat women an men the same.. pretty sure that'll have better results for culture,"Believe all women just when I think things can't get bad, this happens.",0.8955692052841187,OFF
41,sierra burgess is a loser She is me when my phone dings :face_with_tears_of_joy:,sierra burgess is not good She is me when my phone dings :face,0.9400935173034668,OFF
42,me too are all racist!,Me too are all racist,0.820976972579956,OFF
43,gop still acting like the wimps they are.. What!? they haven’t yet realized that Liberals will hate them regardless of their sentiments.. Either Republicans are just too stupid to get out of their own way or they’re just tilted to far left.. confirm kavanaugh now,gop still acting like they are.. What!? they haven't yet realized that Liberals,0.904558002948761,OFF
44,"serena williams is NOT the first mother to be on the women's tour. She is embarrassingly entitled and a bully. Yes, that is Kim Clijsters winning a Major a year after having a baby. http",serena williams is NOT the first mother to be on the women's,0.9127210378646851,OFF
45,"the archers I want to be brilliant at Karate so I can kick the shit out of everyone""""",The archers I want to be brilliant at Karate so I can kick everyone's,0.9642460346221924,OFF
46,a afia siddiqui is a convicted terrorist but she is widely hailed as the Daughter of pakistan http,Afia siddiqui is a convicted terrorist but she is widely hailed as the,0.9766566157341003,OFF
47,dregs of society ??? deplorable s Liberals usually dehumanize those they want to exterminate later http,bad people of society? deplorable s Liberals usually dehumanize those they want to extermin,0.9760540723800659,OFF
48,"elitist actors nbc liberals of dems in hollywood at the emmy Awards a 'toothless' nbc self-promotion onslaught peppered with me too cracks but it was planned, staged and okay because they are democrats socialist liberals of the left walk away ! http",elitist actors nbc liberals of dems in hollywood at the emmy,0.9336048364639282,OFF
49,dr ford dear professor ford Is a FRAUD Female group paid for and organized by george soros http,Dr ford dear professor ford is a FRAUD Female group paid for and,0.9443816542625427,OFF
50,a run jaitley step down He is most shameless fm in history of India and audacity and shamelessness with which is lies in public is disgrace to post.,a run jaitley step down He is most shameless person in history of India and,0.9494689702987671,OFF
51,"conservatives £2 bn Housing on-trick - What a crock of sh#te""! housing crisis http",conservatives £2 bn Housing on-trick - What a bad idea!,0.9282444715499878,OFF
52,2 weeks of resp done and I still don't know shit my ass still on vacation mode :sleepy_face:,Two weeks of resp done and I still don't know I'm still on vacation mode,0.8849509954452515,OFF
53,"justice for sonia s father Plz help Sonia. She is in pain. Why PTI officials not responding her. She is also getting trouble from PMLN goons. Some1, plz help her. Thanks",justice for sonia s father Plz help Sonia. She is in pain. She,0.9507814049720764,OFF
54,"liberalism is a mental disorder but it is also a danger to our country. liberals are showing themselves to be utterly hateful. They do not CARE about TRUTH, they only care about POWER.",liberalism is a mental disorder but it is also a danger to our country. liberals,0.9480161666870117,OFF
55,"florence hurricane 72 HOURS OF SUSTAINED LETHAL CYCLONIC FORCES, ONLY TO A FEW HOURS TO IMPACT TO north carolina south carolina AND georgia DON'T BE STUPID... GET AWAY FROM THESE AREAS... florence Sep 12 12:13 PM nyc miami houston chicago nj ca la http",florence hurricane 72 HOURS OF SUSTAINED LETHAL CYCL,0.9177753925323486,OFF
56,These are all coranated attacks from idiot loons! They will get worse much worse before the election! Can u imagine idiots who want to get rid of the economy and their 401 along with interest rates just because he is not a polished politician? Idiots!,These are all coranated attacks from unsuitable people! They will get worse much,0.9036319255828857,OFF
57,Awwww she is so stinking cute! How old is she now?,Awwww she is so cute! How old is she now?,0.9837803840637207,OFF
58,"benghazi haiti uranium one seth rich What more does the justice department need? No double standards! Just because you're Rich and Powerful doesn't mean you can rob, seal and murder! drain the swamp hillary for prison vote red maga http",Benghazi haiti uranium one seth rich What more does the justice department need?,0.9374622702598572,OFF
59,join the fight Join the fight against American Communists... Democrats and Liberals have taken this crap to the edge and there is no coming back. They are openly promoting the Destruction of AMERICA. join the fight against communism http,join the fight Join the fight against American Communists... Democrats and Liberals have taken this to,0.9484266042709351,OFF
60,has stated that any talk of Zionist involvement in 9/11 is metaphysical masturbation because he is a disinformation agent taking advantage of people of lesser intellect. He should be ashamed of himself but he’s not because he’s zion el,has stated that any talk of Zionist involvement in 9/11 is metaphysical masturbation because he,0.9555497169494629,OFF
61,"kha lees i kinda watching hi ac ! Wtf does she think she is, a person? Pffft pathetic http","kha lees i kinda watching hi ac ! What does she think she is,",0.939535915851593,OFF
62,And:man_shrugging_medium_skin_tone: females b on the same shit http,And:man_shrugging_medium_skin_tone: females b on,0.9758338332176208,OFF
63,"politics infocus Look Donald! You are only a duck, stop patronizing me! http","politics infocus look Donald! You are only a duck, stop patronizing me!",0.9717714786529541,OFF
64,Antonia Evans was either sex trafficked or cremated.,Antonia Evans was either sex trafficked or cremated,0.9777177572250366,OFF
65,repost thesavoyshow with get_repost ・・・ mark knight Says he is not a racist after drawing a racist picture of serena williams .. Do y’all believe him or nah?:right_arrow_curving_down: http,repost thesavoyshow with get_repost ・・ mark knight Says,0.9413701295852661,OFF
66,walk away democrat socialists socialists socialism resist communists antifa cult crazy insane mental illness empty headed bernie sanders venezuela 42 TRILLION in NEW TAXES alexandria ocasio cortez ocasio cortez endorsement fail miss venezuala 2018 Alexandria Ocasio Cortez http,walk away democrat socialists socialists socialism resist communists antifa cult crazy mental illness empty headed b,0.8884605765342712,OFF
67,the view stormy was in trapped by a dollar bill in her face poor pornstar but no worries the Democratic Party she is the leader of,the view stormy was in trapped by a dollar bill in her face poor pornstar,0.9515799283981323,OFF
68,cnbc what's go talk about the gender gap in silicon valley but won't talk about the gap between conservatives and emo crats and the bias,cnbc what's go talk about the gender gap in silicon valley but won't talk,0.967949628829956,OFF
69,And these entertainment agencies just gonna have to be an ass about it. http,And these entertainment agencies just gonna have to be rude about it.,0.946779191493988,OFF
70,"trump Really, everything Trump does is another piece of evidence for obstruction of justice. He is a talking crime machine.","Trump Really, everything Trump does is another piece of evidence for obstruction of justice.",0.9735597372055054,OFF
71,"disarm them This goes to show how moronic Antifa types are, because this is a good way to encourage some dumbass to rightfully get speedrocked. Open carry users practice weapon retention. Gun grabs will go very badly for you if you try. You will get shot, so don't do it. 2a http","disarm them This goes to show how Antifa types are, because this is a",0.8979255557060242,OFF
72,christine b ford liberals are desperate every time liberals don't get there way they cry racism or sexual assault. Hard to believe,Christine b ford liberals are desperate every time liberals don't get there way they,0.9547562599182129,OFF
73,repost is giving a word with this jacket. preach say no to fuck boys dont give your magic to muggles http,Repost is giving a word with this jacket. preach say no to boys dont give,0.9634314775466919,OFF
74,"cincinnati enquirer steps into gun Control FINALLY. Took a mass sh hoting on their damn door step for their editors to wake up, but better late than never. http",cincinnati enquirer steps into gun Control FINALLY. Took a mass of,0.9399491548538208,OFF
75,!!!!bitch i’m fucking coming back http,I'm coming back.,0.8152795433998108,OFF
76,$uicideboy$ ON HALLOWEEN its aboout to get sooooo FUCKING spooky,$uicideboy$ on HALLOWEEN its aboout to get,0.9553446769714355,OFF
77,"democrat controlled city with strict gun control laws and wants to blame the gop Um, isn’t it you rich democrats trying to keep the blacks in poverty? walk away http",democrat controlled city with strict gun control laws and wants to blame the gop Um,0.9250873327255249,OFF
78,walk away from catholicism it is a corrupt to the core and become a giant autocratic pedophile ring.,Walk away from catholicism it corrupt to the core and become a giant autocratic,0.9709382653236389,OFF
79,"california PATRIOTS... especially those in ca21 Obama/Soros are attempting to take this House seat to get control of Congress. Say no to TJ Cox. He is a shill Candidate fronted by the dastardly duo. Please get out and vote David Valadao for House, Dist 21! Follow http",california PATRIOTS... especially those in ca21 Obama/Soros are,0.8837487101554871,OFF
80,- When she takes her nigga name out her bio. http,When she takes her name out her bio.,0.9166860580444336,OFF
81,Exactly it’s bc slick woods has that unconventional look that she’s who she is yea she ain’t attractive to most of us but that shit don’t matter @ all lol,"Exactly, it's because slick woods has that unconventional look that she's who she is",0.8791217803955078,OFF
82,crowder confronts continues to expose that the SJW bullies are paper tigers when conservatives fight back with truth and facts. dont be afraid confront with truth http,crowder confronts continues to expose that the SJW bullies are paper tigers when conservatives fight,0.9528641700744629,OFF
83,becky lynch is beautiful one of the few women in wrestling that absolutely need no work done at all. She's absolutely beautiful just the way she is. Doesn't need giant boobs or a fake booty. is just simply amazing hi ac,Becky lynch is beautiful one of the few women in wrestling that absolutely need no,0.9183887243270874,OFF
84,democrats 2 we have yet to hear one of these righteous Democrats 'attack and insist' that Ellison resign after 'he' was accused of assault nor have we heard them call for Cory 'Spartacus' Booker to resign after he 'admitted' to sexual assault in 1992..the 'stink' of liberals.,democrats 2 we have yet to hear one of these righteous Democrats 'attack and insist,0.9209260940551758,OFF
85,"1 son, knockin it out the fuckin park...... http","1 son, knockin it out the park",0.8792061805725098,OFF
86,"Okay and? Anybody can go to Eredivise and score 15+ goals. Shit league. Bundesliga teams are competitive in euro competitions. Mexico hasn’t produced any talent like Pulisic in a long time. It’s okay, maybe you guys will one day.",Okay and? Anybody can go to Eredivise and score 15+ goals,0.9024078845977783,OFF
87,kalyani is a very stupid teenager. I totally despise her for the atrocities she is doing towards Aunty Anupriya. She blames her for her mom’s death. She should stop and listen to Anupriya side of the story before she makes vile accusation tujhsehairaabta zeetv serials,kalyani is a very naive teenager. I totally despise her for the atrocities she,0.9304943084716797,OFF
88,kalyani is a very stupid teenager. I totally despise her for the atrocities she is doing towards Aunty Anupriya. She blames her for her mom’s death. She should stop and listen to Anupriya side of the story before she makes vile accusation tujhsehairaabta zeetv serials,kalyani is a very naive teenager. I totally despise her for the atrocities she,0.9304943084716797,OFF
89,She is the most disingenuous person in the Senate. If she was my Senator I would hide in shame after her despicable behavior in the SCOTUS hearings.,She is not a good person in the Senate. If she was my Senator I would,0.9112509489059448,OFF
90,democrats liberals you are being threatened by armed nazis and you talk about disarmament of yourselves and of disconnection from the military lifestyle ? You should broadcast your armory and kill skills right fucking now http,democrats liberals you are being threatened by armed nazis and you talk about disarm,0.9550873637199402,OFF
91,"699. Just wanted to tell you you should Hang Out With Me More. i think it’ll be fun! Also, lmao dick for a tongue? So people can easily suck me off. HAHA kidding aside, i aint want a tongue as my dick that looks hella weird.. but my choice was weird to but WHATEVER",I just wanted to tell you that you should Hang Out with Me More. I think,0.8480663895606995,OFF
92,"3,000 is definitely a tad high Puerto Rico. How about you DemocRATS provide proof? Providing names, locations, and next of kin shouldn’t be that hard. I hope you don’t mind, but I will not be holding my breath. http via http","3,000 is definitely a tad high Puerto Rico. How about you provide proof?",0.8932297825813293,OFF
93,avalanche I'm sorry! I see you! I love you! I was an asshole! You know how we are maga,avalanche I'm sorry! I see you! I love you! You know how,0.9727177023887634,OFF
94,"familiar wife JH-OMG, she is crazy WJ-Wait!....yes, I am interested in assistant manager Cha BH-You guys look like a good pair VO-Are you having some""? Just sit over here JH-Don't do it! WJ-Lets live our own life. Lets do it News-Collision on hwy, there is congestion JH-Woo-jin~ http","familiar wife JH-OMG, she is crazy WJ-Wait!",0.9260220527648926,OFF
95,All I’m saying if we cool and you feel any type of way about me.. speak the fuck up.,All I'm saying is if we cool and you feel any type of way about me,0.9585387706756592,OFF
96,c uck servative Traitors Are Worse Than Fortnite Players http conservatives trigger warning radio,c uck servative Traitors Are Worse Than Fortnite Players http conservatives trigger,0.9912407994270325,OFF
97,"barbara Boxer If LIBERALS Want to Use RAPE as a Political Tactic! THEY Had Better Have Some HARD EVIDENCE! Her Word Isn't Evidence!!! Its Called HEARSAY . On that note, I Could Say ' YOU ' Cornered Me In A Bathroom, And put YOUR Hands All Over Me' 35 Years Ago. PROVE ME WRONG http",barbara Boxer If LIBERALS want to use RAPE as a Political T,0.8958060145378113,OFF
98,Gun control doesn't stop kids and people getting murdered by guns. Chicago has had gun control for decades and it has multiple shootings every week.,Gun control doesn't stop kids and people getting murdered by guns. Chicago has had gun,0.953021764755249,OFF
99,faux progressives I’ve been done with these corrupt democrats for years now and here’s more proof! Ocasio-Cortez Endorses Cuomo As Cuomo Flips Off Progressives http via liberals cory booker ocasio cortez,I have been done with these people for years now and here's more proof! O,0.8622183203697205,OFF
100,constitution day It's very odd for the alt right conservatives to say that we are ruining the constitution just because we want gun control now but they are the ones ruining the constitution getting upset because foreigners are coming to this land who are not White wanting to live,constitution day It's very odd for the alt right conservatives to say that we are,0.9169141054153442,OFF
101,"eric STALL-WELL, DEMOCRAT FROM CALI.should worry about fixing his own state, instead of trying to muster up sympathy, for the LIAR, PROF. HUNT! On FOX NEWS! See liberals FOX IS BALANCED, AND GIVES BOTH SIDES.","eric STALL-WELL, DEMOCRAT FROM CALI.should worry",0.944257915019989,OFF
102,And dicks. http,And bad people.,0.8175260424613953,OFF
103,liberal logic kavanaugh looks predatory. Therefore he's guilty. liberals are DANGEROUS people who should not govern anyone or anything. http,Liberal logic kavanaugh looks predatory. Therefore he's guilty.,0.9252863526344299,OFF
104,children now Mixed Up .. Over gender studies crap and socialism .. yeah like I did not see this one coming! mega mb ga maga mcga conservatives patriots protect children http,"children now Mixed up over gender studies and socialism, yeah like I did not see this",0.9050557613372803,OFF
105,"orrin hatch I can’t believe this sexist , clueless, old fart gets to weigh in on another woman’s charges against a Supreme Court nominee. And he is spouting the same old nasty shit he spewed 20+ years ago against Anita Hill. His time’s up! Good riddance Neanderthal!",orrin hatch I canтАЩt believe he gets to weigh in,0.7880115509033203,OFF
106,"4. (Part 2) Didn't have to think too hard to come up with Gabriel. They're a lizard themed, glitter bombing, antifa mech pilot using their superhero powers to take down corrupt logging companies. They're a buff lesbian with hearts on their uniform. Literally what's not to love?",4. (part 2) Didn't have to think too hard to come up with,0.8818904757499695,OFF
107,"repost theleadersmindset • • • :round_pushpin:Hola Leaders!:fire: :check_mark:Type “READY” if you are ready to follow this steps. - “ Set goals, stay quiet about them, smash the shit out of them, clap for your damn… http",repost theleadersmindset:Hola Leaders:fire:check_mark:,0.9208859801292419,OFF
108,And have a bitch thinking you niggas have money and you tf don’t.,And have someone thinking you have money and you don't.,0.9034625291824341,OFF
109,*Extremely* back on my bullshit. http,*Extremely* back on my bad words.,0.9264405369758606,OFF
110,7 fucking years. my twitter anniversary http,7 years. my twitter anniversary,0.9606691598892212,OFF
111,"dems are disgusting. They only believe women who accuse conservatives of abuse crimes. When liberals are accused, they ignore the accusations. http",dems are not good. They only believe women who accuse conservatives of abuse crimes.,0.9703172445297241,OFF
112,"50 Cent Calls Out Joe Budden's Bullshit"" On Instagram http http","50 Cent Calls Out Joe Budden's ""Bad"" On Instagram http http",0.9768087863922119,OFF
