,original,detoxified,orig_label,new_label
0,"who is q wheres the server dump nike dec las fisa Democrats Support Antifa, Muslim Brotherhood, MS13, ISIS, Pedophilia, Child Trafficking, Taxpayer Funded Abortion’s, Election Fraud, Sedition And Treason!!! lock them all up wwg1wga q a non ⁦ http",who is q wheres the server dump nike dec las fisa Democrats Support Ant,OFF,NOT
1,. . . What the fuck did he do this time?,What did he do this time?,OFF,NOT
2,......bitch what http,what http,OFF,NOT
3,"georgetown Classmate Says left Accuser is Absolutely NUTS"" http ""Judge Kavanaugh"" abc cbs democrats liberals women monday motivation monday morning veterans law maga gop cnn msnbc nbc moms black women bet","georgetown Classmate Says left Accuser is absolutely NUTS"" http ""Judge",OFF,OFF
4,conservatives - You're a clown! http,conservatives - You are not good.,OFF,OFF
5,Are you fucking serious? http,Are you serious?,OFF,NOT
6,*gets all the bitches*,gets all of them,OFF,NOT
7,liberals are so pathetic! INNOCENT UNTIL PROVEN GUILTY mean much? democrats should look at their own party if they need a rapist to hang! kavanaugh is innocent walk away from democrats liberal lies are straight from the Pitts of HELL :fire: http,liberals are so pathetic! INNOCENT UNTIL PROVEN GUIL,OFF,OFF
8,"colin kaper na eck has done nothing but sit on his ass and complain. It’s time black people and die hard white liberals, who think they are down with the cause aka to wake the heck up or STFU! Colin is not a Civil Rights hero or martyr. No where near it.",colin kaper na eck has done nothing but sit and complain. It's,OFF,NOT
9,serena williams Serena was caught cheating with her coach but because it's collaborative she thinks she is not a thief. In her mind the real thief is the umpire who spotted what was going on and called it out. It's like a couple of bank robbers blaming a guard for calling police,serena williams Serena was caught cheating with her coach but because it,OFF,NOT
10,Gun control? I'm wondering who was in control of all those bodies that got suicided because of you. You need to be controlled. 24/7/365 gitmo THE PAIN IS COMING. maga q a non benghazi Hope they televise your demise.,Gun control? I'm wondering who was in control of all those bodies that got su,OFF,NOT
11,believe all women just when I think things can't get dumber.. this happens.. liberals probably don't realize this because they are children but this isn't equality. How about we treat women an men the same.. pretty sure that'll have better results for culture,"Believe all women just when I think things can't get bad, this happens.",OFF,NOT
12,me too are all racist!,Me too are all racist,OFF,OFF
13,2 weeks of resp done and I still don't know shit my ass still on vacation mode :sleepy_face:,Two weeks of resp done and I still don't know I'm still on vacation mode,OFF,NOT
14,walk away democrat socialists socialists socialism resist communists antifa cult crazy insane mental illness empty headed bernie sanders venezuela 42 TRILLION in NEW TAXES alexandria ocasio cortez ocasio cortez endorsement fail miss venezuala 2018 Alexandria Ocasio Cortez http,walk away democrat socialists socialists socialism resist communists antifa cult crazy mental illness empty headed b,OFF,OFF
15,"disarm them This goes to show how moronic Antifa types are, because this is a good way to encourage some dumbass to rightfully get speedrocked. Open carry users practice weapon retention. Gun grabs will go very badly for you if you try. You will get shot, so don't do it. 2a http","disarm them This goes to show how Antifa types are, because this is a",OFF,NOT
16,!!!!bitch i’m fucking coming back http,I'm coming back.,OFF,NOT
17,"california PATRIOTS... especially those in ca21 Obama/Soros are attempting to take this House seat to get control of Congress. Say no to TJ Cox. He is a shill Candidate fronted by the dastardly duo. Please get out and vote David Valadao for House, Dist 21! Follow http",california PATRIOTS... especially those in ca21 Obama/Soros are,OFF,NOT
18,Exactly it’s bc slick woods has that unconventional look that she’s who she is yea she ain’t attractive to most of us but that shit don’t matter @ all lol,"Exactly, it's because slick woods has that unconventional look that she's who she is",OFF,NOT
19,"1 son, knockin it out the fuckin park...... http","1 son, knockin it out the park",OFF,NOT
20,"699. Just wanted to tell you you should Hang Out With Me More. i think it’ll be fun! Also, lmao dick for a tongue? So people can easily suck me off. HAHA kidding aside, i aint want a tongue as my dick that looks hella weird.. but my choice was weird to but WHATEVER",I just wanted to tell you that you should Hang Out with Me More. I think,OFF,NOT
21,"3,000 is definitely a tad high Puerto Rico. How about you DemocRATS provide proof? Providing names, locations, and next of kin shouldn’t be that hard. I hope you don’t mind, but I will not be holding my breath. http via http","3,000 is definitely a tad high Puerto Rico. How about you provide proof?",OFF,NOT
22,"barbara Boxer If LIBERALS Want to Use RAPE as a Political Tactic! THEY Had Better Have Some HARD EVIDENCE! Her Word Isn't Evidence!!! Its Called HEARSAY . On that note, I Could Say ' YOU ' Cornered Me In A Bathroom, And put YOUR Hands All Over Me' 35 Years Ago. PROVE ME WRONG http",barbara Boxer If LIBERALS want to use RAPE as a Political T,OFF,OFF
23,faux progressives I’ve been done with these corrupt democrats for years now and here’s more proof! Ocasio-Cortez Endorses Cuomo As Cuomo Flips Off Progressives http via liberals cory booker ocasio cortez,I have been done with these people for years now and here's more proof! O,OFF,NOT
24,And dicks. http,And bad people.,OFF,OFF
25,"orrin hatch I can’t believe this sexist , clueless, old fart gets to weigh in on another woman’s charges against a Supreme Court nominee. And he is spouting the same old nasty shit he spewed 20+ years ago against Anita Hill. His time’s up! Good riddance Neanderthal!",orrin hatch I canтАЩt believe he gets to weigh in,OFF,NOT
26,"4. (Part 2) Didn't have to think too hard to come up with Gabriel. They're a lizard themed, glitter bombing, antifa mech pilot using their superhero powers to take down corrupt logging companies. They're a buff lesbian with hearts on their uniform. Literally what's not to love?",4. (part 2) Didn't have to think too hard to come up with,OFF,NOT
27,Damn I felt this shit. Why you so loud lol,I felt this because you are so loud lol,OFF,NOT
28,"3 days before BBC Radio 2’s Festival in a Day, they decide to tell us that their headline act isn’t coming anymore. Thanks a lot, now I’ve paid a fortune to see a tonne of acts who are shit and who are of no interest to me :expressionless_face::thumbs_up_light_skin_tone:","3 days before BBC Radio 2’s Festival in a Day, they decide to",OFF,NOT
29,"joe scarborough is a vile excuse for a journalist"". Here he is criticizing trump yet refuses to come clean about the death of an intern in his office. Stop talking about everyone else and start talking about YOUR INVOLVEMENT WITH lori klaus ut is",Joe scarborough is a bad excuse for a journalist. Here he is critizing Trump,OFF,NOT
30,// SO WANT TO KICK TWITTERFUCK ASS.,I want to speak with you.,OFF,NOT
31,"Really? The GOP hasn't even seen the letter yet. This sham is as subtle as a banana on a pool table and you won't, cant, see it. DiFi throws a hail Mary @ the 13th hour, and you cry foul. At elast Ford won't have antifa coming to burn her house down. Dems are going down, hard.",Really? The GOP hasn't even seen the letter yet.,OFF,NOT
32,fuck,i don't care,OFF,NOT
33,idiots Is there nothing beneath them? Lol. What fools Liberals are! maga kag :United_States::United_States::United_States::United_States::United_States: http,Is there nothing beneath them? Lol. What liberals are,OFF,NOT
34,Am I a dickhead ???? Probably yes,Am I bad? Probably yes,OFF,NOT
35,"3 days before BBC Radio 2’s Festival in a Day, they decide to tell us that their headline act isn’t coming anymore. Thanks a lot, now I’ve paid a fortune to see a tonne of acts who are shit and who are of no interest to me :expressionless_face::thumbs_up_light_skin_tone:","3 days before BBC Radio 2’s Festival in a Day, they decide to",OFF,NOT
36,"desantis de racist as bad a choice as he is, he “distanced” himself from the Prez’s comments today questioning any deaths in Puerto Rico from Hurricane Maria what a putz","desantis de bad a choice as he is, he “distanced”",OFF,NOT
37,liberalism is a mental disorder hypocrites democrats hate america democrats are dangerous EVERYTHING LIBERALS TOUCH TURNS TO ABSOLUTE SHIT. http,liberalism is a mental disorder democrats hate america democrats are dangerous,OFF,OFF
38,Anytime I randomly bust out laughing it’s because I remembered some dumb shit Albria said :loudly_crying_face::loudly_crying_face:,Anytime I randomly bust out laughing it’s because I remembered something Albria,OFF,NOT
39,:face_with_tears_of_joy: You do not like the Jewish people because you ALL claims they are holding all the money. Sound familiar? Your left wing libtard family is the family of the KKK. You do not hate Jews? That’s funny. Gun control; even funnier. Good luck,face_with_tears_of_joy: You do not like the Jewish,OFF,NOT
40,carrey is a pervert himself!,carrey is not good,OFF,NOT
41,nigga are you stupid your trash dont play with him play with your bitch :face_with_tears_of_joy:,Don't play with him play with your tears.,OFF,NOT
42,"texas Wake up! A Socialist is mesmerizing the weak-minded in your state! YOU ARE **TEXAS** FOR CRYING OUT LOUD! Of all the places that embody the American Spirit of Individual Freedom, TEXAS IS THE STANDARD BEARER Make a damn stand for your GREAT Senator save texas http",Texas Wake up! A Socialist is mesmerizing the weak-minded in your state!,OFF,OFF
43,"5 years ago Antifa rapper Pavlos Fyssas surrounded by fascists of the Golden Dawn Party in Keratsini, Athens, and stabbed to death. Five years later WE DO NOT FORGET WE DO NOT FORGIVE http http",5 years ago Antifa rapper Pavlos Fyssas surrounded by fascists of the Golden,OFF,OFF
44,femi nazis are Liberals so me too only counts when they blame a non-Liberal man. bizarro kag2018 :red_heart::United_States: http,Femi nazis are Liberals so me too only counts when they blame a non,OFF,OFF
45,$1500 for a phone. You all are fucking dumb.,$1500 for a phone,OFF,NOT
46,"b cog she is cool, confident, cocky, and she kicks ass!!! http","she is cool, confident, and she is awesome",OFF,NOT
47,stop etc he co par Fuck you all :middle_finger::middle_finger::middle_finger::middle_finger::middle_finger: Que florezcan mil Baby Etchecopar :sunflower::sunflower::sunflower:,"Stop talking, he's gone.",OFF,NOT
